underlying,upx,type,expiration,data_date,strike,bid,ask,mid,delta
SPY,285.0199890136719,call,2018-09-21,2018-08-17,289,1.3899999856948853,1.409999966621399,1.399999976158142,0.29790520194800435
SPY,285.67999267578125,call,2018-09-21,2018-08-20,289,1.559999942779541,1.5800000429153442,1.5699999928474426,0.32862311198331395
SPY,286.2699890136719,call,2018-09-21,2018-08-21,289,1.7300000190734863,1.75,1.7400000095367432,0.3511395775728708
SPY,286.2099914550781,call,2018-09-21,2018-08-22,289,1.5299999713897705,1.5499999523162842,1.5399999618530273,0.33525597485728503
SPY,285.7900085449219,call,2018-09-21,2018-08-23,289,1.3899999856948853,1.409999966621399,1.399999976158142,0.31782968864038486
SPY,287.5199890136719,call,2018-09-21,2018-08-24,289,1.9800000190734863,2,1.9900000095367432,0.403727619476745
SPY,289.7300109863281,call,2018-09-21,2018-08-27,289,3.049999952316284,3.0899999141693115,3.069999933242798,0.5311818099686414
SPY,289.8395080566406,call,2018-09-21,2018-08-28,289,3.1600000858306885,3.190000057220459,3.1750000715255737,0.5404205700571192
SPY,291.45001220703125,call,2018-09-21,2018-08-29,289,4.110000133514404,4.150000095367432,4.130000114440918,0.6100219671484363
SPY,290.32000732421875,call,2018-09-21,2018-08-30,289,3.5199999809265137,3.549999952316284,3.534999966621399,0.5540913668011449
SPY,290.2699890136719,call,2018-09-21,2018-08-31,289,3.4100000858306885,3.450000047683716,3.430000066757202,0.5676570600748653
SPY,289.8399963378906,call,2018-09-21,2018-09-04,289,2.9100000858306885,2.930000066757202,2.9200000762939453,0.5421857287643145
SPY,289.07000732421875,call,2018-09-21,2018-09-05,289,2.2799999713897705,2.319999933242798,2.299999952316284,0.4763952846025702
SPY,288.1600036621094,call,2018-09-21,2018-09-06,289,1.8300000429153442,1.840000033378601,1.8350000381469727,0.41316054062297214
SPY,287.5299987792969,call,2018-09-21,2018-09-07,289,1.4199999570846558,1.440000057220459,1.4300000071525574,0.3682878535775569
SPY,288.0899963378906,call,2018-09-21,2018-09-10,289,1.3600000143051147,1.3899999856948853,1.375,0.3928796331642792
SPY,289.1300048828125,call,2018-09-21,2018-09-11,289,1.6799999475479126,1.7000000476837158,1.6899999976158142,0.4709191717569584
SPY,289.17999267578125,call,2018-09-21,2018-09-12,289,1.5199999809265137,1.5499999523162842,1.534999966621399,0.46456931376960536
SPY,290.79998779296875,call,2018-09-21,2018-09-13,289,2.490000009536743,2.5199999809265137,2.5049999952316284,0.617186969073793
SPY,290.9200134277344,call,2018-09-21,2018-09-14,289,2.4700000286102295,2.5,2.4850000143051147,0.6225490558710763
SPY,289.3999938964844,call,2018-09-21,2018-09-17,289,1.5,1.5399999618530273,1.5199999809265137,0.49170190901465477
SPY,290.9200134277344,call,2018-09-21,2018-09-18,289,2.109999895095825,2.1600000858306885,2.134999990463257,0.6244460138465333
SPY,291.25,call,2018-09-21,2018-09-19,289,2.2899999618530273,2.4000000953674316,2.3450000286102295,0.6653483663038009
SPY,293.5299987792969,call,2018-09-21,2018-09-20,289,4.420000076293945,4.630000114440918,4.525000095367432,0.7465290111893884
SPY,292.0400085449219,call,2018-09-21,2018-09-21,289,3.040008544921875,3.040008544921875,3.040008544921875,1
